차량명,연식,주행거리,가격
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,16년 4월식,"76,601km",850만원
기아 더 뉴 레이 럭셔리,18년 11월식,"68,056km","1,020만원"
KG모빌리티(쌍용) 티볼리 VX 2WD,16년 2월식,"69,731km",930만원
현대 쏘나타 DN8 1.6 터보 인스퍼레이션,20년 6월식(21년형),"64,925km","2,130만원"
제네시스 GV70 가솔린 터보 2.5 2WD,22년 3월식,"22,268km","4,190만원"
현대 팰리세이드 디젤 2.2 4WD 캘리그래피 (7인승),21년 2월식,"60,117km","3,090만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 밸류 플러스,17년 5월식(18년형),"100,449km","1,390만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 시그니처,20년 12월식(21년형),"68,086km","2,690만원"
현대 LF 쏘나타 하이브리드 2.0 HEV 모던,15년 2월식,"111,453km",980만원
기아 더 뉴 레이 스탠다드,21년 5월식,"17,303km","1,240만원"
기아 올 뉴 모닝 디럭스 스페셜,13년 2월식,"71,437km",470만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 팰리세이드 가솔린 3.8 4WD 캘리그래피 (7인승),21년 6월식(22년형),"56,745km","2,850만원"
현대 아슬란 G300 모던,15년 3월식,"69,018km","1,020만원"
기아 더 뉴 K3 2세대 트렌디,22년 2월식,"42,994km","1,520만원"
기아 쏘렌토 4세대 가솔린 2.5 4WD 프레스티지,22년 3월식,"97,507km","2,450만원"
기아 올 뉴 카니발 9인승 하이리무진 노블레스,16년 1월식,"91,447km","1,640만원"
BMW X1 (F48) xDrive 20i xLine,22년 8월식,"34,811km","3,230만원"
르노코리아(삼성) 뉴SM5 플래티넘 LPLi RE 기본형,14년 8월식,"133,347km",530만원
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 2WD 프레스티지,22년 2월식,"55,753km","3,030만원"
기아 K8 하이브리드 노블레스,23년 1월식,"61,753km","2,830만원"
쉐보레(GM대우) 올 뉴 크루즈 1.4 터보 LS,17년 3월식,"16,125km",780만원
KG모빌리티(쌍용) 더 뉴 코란도 스포츠 2.2 CX7 4WD 클럽,17년 3월식,"126,888km",930만원
기아 더 뉴 레이 밴 (2인승) 스탠다드,21년 4월식,"66,083km",860만원
현대 그랜저 IG 2.4 모던,18년 6월식(19년형),"99,381km","1,350만원"
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브,20년 8월식,"83,522km","1,960만원"
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 2WD 캘리그래피,23년 10월식,"6,585km","3,450만원"
BMW 3시리즈 (F30) 320d M 스포츠 쉐도우,18년 12월식,"106,518km","1,920만원"
기아 셀토스 가솔린 터보 1.6 2WD 노블레스,19년 11월식(20년형),"63,271km","1,920만원"
BMW X6 (G06) 디젤 4WD xDrive 30d M 스포츠,20년 7월식,"86,037km","6,080만원"
기아 더 뉴 봉고III 트럭 LPi 2.5 터보 카고 1톤 킹캡 초장축 GLS,24년 3월식,"30,305km","1,990만원"
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,15년 9월식(16년형),"120,315km",620만원
기아 올 뉴 카니발 9인승 럭셔리,15년 6월식(16년형),"86,487km","1,230만원"
르노코리아(삼성) 뉴SM5(신형) LE,10년 7월식,"57,286km",400만원
기아 더 뉴 레이 시그니처,22년 1월식,"44,570km","1,350만원"
쉐보레(GM대우) 올란도 2.0 디젤 LTZ 프리미엄,14년 8월식,"87,889km",590만원
기아 올 뉴 K7 2.4 GDI 리미티드,18년 12월식,"99,537km","1,270만원"
현대 아반떼 MD M16 GDI 프리미엄,13년 5월식(14년형),"117,343km",710만원
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,16년 8월식(17년형),"54,458km","1,140만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 올 뉴 투싼 TL 디젤 2.0 2WD 프리미엄,18년 12월식(19년형),"65,131km","1,870만원"
현대 팰리세이드 디젤 2.2 4WD 프레스티지 (7인승),19년 5월식,"71,557km","2,680만원"
현대 코나 1.6 터보 2WD 모던 초이스,20년 9월식,"75,537km","1,570만원"
현대 쏘나타 DN8 2.0 LPi(장애인용) 모던,20년 6월식(21년형),"56,397km","1,490만원"
현대 넥쏘 프리미엄,22년 4월식(23년형),"82,152km","1,970만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 트렌디,22년 12월식(23년형),"38,218km","2,460만원"
기아 쏘렌토 4세대 가솔린 2.5 4WD 시그니처,22년 9월식(23년형),"49,425km","2,980만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,22년 11월식(23년형),"13,155km","2,090만원"
기아 K8 가솔린 3.5 2WD 노블레스,22년 10월식(23년형),"49,322km","2,470만원"
현대 그랜저 뉴 럭셔리 Q270 럭셔리 기본형,08년 8월식(09년형),"54,163km",500만원
제네시스 G70 2.0T 엘리트,19년 4월식,"65,098km","2,350만원"
현대 그랜저 HG 하이브리드 프리미엄,16년 4월식,"94,052km","1,050만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,17년 7월식(18년형),"109,737km","1,290만원"
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD R-플러스,22년 5월식,"13,767km","2,090만원"
지프 랭글러 (JK) 3.6 루비콘 4도어,17년 11월식,"77,865km","2,320만원"
기아 K8 하이브리드 노블레스,22년 10월식(23년형),"94,536km","2,590만원"
제네시스 G70 2.0T 엘리트,19년 8월식,"145,159km","1,630만원"
기아 모닝 어반 가솔린 1.0 시그니쳐,22년 8월식(23년형),"7,832km","1,390만원"
르노코리아(삼성) 뉴 QM6 LPG 2.0 2WD (일반인 판매용) RE,21년 3월식,"72,654km","1,530만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식,23년 8월식(24년형),"22,078km","2,790만원"
쉐보레(GM대우) 더 뉴 말리부 2.0 터보 프리미어 스페셜,19년 1월식,"69,637km","1,320만원"
현대 아반떼 MD M16 GDI 럭셔리,11년 11월식(12년형),"72,710km",550만원
기아 더 뉴 니로 럭셔리,20년 12월식(21년형),"31,358km","1,890만원"
KG모빌리티(쌍용) 티볼리 LX 2WD 세부등급 없음,16년 6월식,"81,116km",890만원
제네시스 더 뉴 G70 가솔린 터보 2.5 슈팅브레이크 AWD 스포츠 패키지,23년 7월식(24년형),"45,559km","3,590만원"
제네시스 GV80 가솔린 2.5 2WD (5인승),20년 10월식,"52,487km","4,170만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,22년 2월식,"85,999km","2,670만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 K5 3세대 가솔린 2.0 시그니처,21년 1월식,"46,169km","2,320만원"
현대 더 뉴 아반떼 (CN7) 가솔린 1.6 모던,23년 3월식(24년형),"27,875km","1,990만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,21년 4월식,"60,103km","6,890만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,20년 4월식(21년형),"97,984km","1,570만원"
현대 싼타페 TM 가솔린 2.0T 2WD 익스클루시브,20년 6월식,"120,987km","1,860만원"
기아 올 뉴 카니발 가솔린 9인승 하이리무진 노블레스,17년 9월식(18년형),"69,976km","1,990만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,21년 4월식,"36,978km","3,890만원"
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,21년 8월식(22년형),"41,530km","2,460만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 3월식,"89,396km","1,620만원"
기아 스포티지 4세대 디젤 1.7 2WD 노블레스 세부등급 없음,15년 12월식(16년형),"91,841km","1,150만원"
제네시스 GV70 가솔린 터보 2.5 AWD,23년 1월식,"31,500km","4,140만원"
KG모빌리티(쌍용) 토레스 가솔린+LPG 1.5 2WD TL7,23년 3월식,"18,907km","2,230만원"
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,22년 11월식(23년형),"29,760km","1,670만원"
기아 셀토스 가솔린 터보 1.6 2WD 프레스티지,19년 11월식(20년형),"40,319km","1,670만원"
현대 더 뉴 코나 가솔린 터보 1.6 2WD 모던 초이스,23년 1월식,"47,205km","2,120만원"
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,18년 6월식(19년형),"142,978km","1,690만원"
현대 엑센트(신형) 1.6 GDI 모던,13년 6월식(14년형),"26,713km",650만원
기아 K5 3세대 하이브리드 프레스티지,23년 3월식,"50,626km","2,240만원"
기아 스토닉 1.4 가솔린 프레스티지,19년 12월식(20년형),"91,179km","1,230만원"
현대 i30(신형) 1.6 GDI 익스트림,12년 5월식,"60,621km",670만원
현대 쏘나타 DN8 하이브리드 프리미엄 플러스,21년 12월식(22년형),"105,696km","1,910만원"
현대 투싼 (4세대) 1.6 터보 모던,22년 5월식,"29,281km","2,130만원"
현대 제네시스 쿠페 200 터보 P,11년 12월식,"80,522km",650만원
기아 더 뉴 니로 노블레스 스폐셜,20년 4월식,"100,967km","1,760만원"
기아 K8 가솔린 3.5 4WD 플래티넘,21년 7월식(22년형),"42,288km","2,670만원"
현대 싼타페 TM 디젤 2.0 2WD 프레스티지,19년 2월식,"103,250km","2,050만원"
기아 올 뉴 모닝 럭셔리,14년 11월식(15년형),"40,427km",720만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
제네시스 GV70 가솔린 터보 2.5 스포츠 AWD,21년 7월식,"99,864km","3,550만원"
기아 더 뉴 레이 시그니처,22년 6월식,"12,224km","1,490만원"
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,23년 11월식(24년형),"17,540km","1,750만원"
제네시스 G70 3.3T 스포츠 엘리트,19년 3월식,"72,121km","2,290만원"
기아 더 뉴 K3 2세대 프레스티지,21년 5월식(22년형),"50,667km","1,550만원"
현대 엑센트(신형) 1.4 VVT 모던,16년 1월식,"72,581km",630만원
르노코리아(삼성) SM6 2.0 프라임 SE,19년 7월식,"82,006km",850만원
기아 K3 디럭스,15년 8월식,"56,890km",640만원
기아 더 뉴 레이 프레스티지,20년 5월식,"46,057km","1,390만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,16년 9월식(17년형),"66,022km",650만원
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,21년 1월식,"39,921km","2,540만원"
기아 카니발 (4세대) 가솔린 3.5 (9인승) 시그니처,23년 1월식,"79,651km","2,850만원"
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.6 RX 2WD,18년 10월식(19년형),"100,630km","1,090만원"
현대 쏘나타 DN8 2.0 가솔린 프리미엄,20년 1월식,"81,605km","1,450만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 2월식,"110,470km","1,010만원"
벤츠 GLC-클래스 X253 GLC220 d 4MATIC 쿠페,21년 4월식,"133,664km","3,620만원"
현대 더 뉴 코나 하이브리드 스마트,22년 2월식,"94,696km","1,630만원"
기아 K7 프리미어 가솔린 2.5 노블레스,19년 12월식(20년형),"96,383km","1,880만원"
기아 더 뉴 K5 하이브리드 2세대 노블레스 스페셜,18년 12월식(19년형),"141,045km","1,400만원"
기아 K7 프리미어 가솔린 2.5 노블레스,19년 8월식(20년형),"105,085km","1,840만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 11월식(23년형),"32,383km","1,640만원"
BMW 7시리즈 (G11 F/L) 가솔린 4WD 740Li xDrive M 스포츠,20년 12월식(21년형),"102,880km","5,540만원"
현대 베뉴 1.6 모던,19년 9월식(20년형),"76,641km","1,380만원"
기아 더 뉴 K3 트렌디 스타일,17년 4월식,"107,871km",820만원
기아 모닝 어반 가솔린 1.0 밴 스페셜,22년 12월식(23년형),"54,343km",760만원
기아 올 뉴 K7 2.4 GDI 노블레스,19년 3월식,"150,175km","1,270만원"
기아 더 뉴 기아 레이 EV 전기 에어,24년 3월식,"18,730km","2,220만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
폭스바겐 올 뉴 제타 1.4 가솔린 1.4 프레스티지,20년 12월식,"74,134km","1,620만원"
캐딜락 CT6 3.6 플래티넘 AWD,19년 11월식,"92,541km","2,660만원"
기아 K5 3세대 가솔린 터보 1.6 노블레스,22년 2월식,"19,814km","2,180만원"
제네시스 GV70 가솔린 터보 2.5 AWD,21년 1월식,"52,575km","4,340만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 5월식,"99,234km","1,890만원"
기아 더 뉴 카니발 9인승 럭셔리,19년 4월식,"81,457km","1,360만원"
현대 쏘나타 뉴 라이즈 1.6 터보 마이 트립 에디션,18년 1월식,"66,518km","1,590만원"
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),21년 5월식(22년형),"42,614km","3,370만원"
기아 스팅어 3.3 터보 AWD GT,20년 8월식,"132,431km","1,920만원"
르노코리아(삼성) 더 뉴 SM6 가솔린 터보 1.8 프리미에르,22년 1월식,"35,492km","2,150만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,20년 12월식(21년형),"98,574km","1,650만원"
아우디 A4 (B9) 40 TFSI 프리미엄,21년 8월식,"85,708km","2,480만원"
기아 더 뉴 카니발 9인승 노블레스 스페셜,18년 11월식(19년형),"124,113km","1,620만원"
기아 올 뉴 카니발 9인승 프레스티지,17년 9월식(18년형),"119,887km","1,390만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 3월식,"57,835km","2,290만원"
기아 더 뉴 카니발 7인승 리무진 VIP,20년 4월식,"136,696km","1,650만원"
현대 제네시스 DH G330 모던 AWD,15년 1월식,"85,206km","1,350만원"
쉐보레(GM대우) 임팔라 3.6 LTZ,16년 3월식,"87,490km",970만원
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,21년 1월식,"98,875km","2,040만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,16년 10월식(17년형),"57,371km",680만원
기아 카니발 (4세대) 디젤 2.2 (7인승) 시그니처,20년 8월식(21년형),"114,020km","2,820만원"
현대 더 뉴 맥스크루즈 디젤 2.2 2WD 파이니스트 에디션,17년 1월식,"76,916km","1,890만원"
기아 올 뉴 모닝 럭셔리,14년 9월식(15년형),"67,568km",560만원
기아 카니발 (4세대) 가솔린 3.5 (7인승) 노블레스,21년 1월식,"76,968km","2,690만원"
BMW 6시리즈 GT (G32) 630i xDrive M 스포츠,20년 11월식(21년형),"32,398km","5,150만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 시그니처 그래비티,22년 8월식(23년형),"23,702km","3,210만원"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅱ,18년 5월식(19년형),"89,739km","2,290만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 K5 하이브리드 2세대 노블레스 스페셜,16년 9월식(17년형),"116,272km","1,370만원"
기아 더 뉴 K5 2세대 2.0 노블레스,19년 6월식(20년형),"46,982km","1,460만원"
기아 K5 3세대 하이브리드 노블레스,20년 4월식,"116,868km","1,920만원"
기아 더 뉴 카니발 가솔린 9인승 하이리무진 노블레스 스페셜,20년 6월식,"69,169km","2,550만원"
기아 더 뉴 모닝 럭셔리,15년 11월식(16년형),"43,674km",660만원
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 6월식,"129,203km",950만원
기아 니로 프레스티지,17년 10월식(18년형),"133,592km","1,280만원"
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 LS 디럭스,19년 5월식,"83,956km",900만원
현대 아반떼 MD M16 GDI 럭셔리,11년 9월식(12년형),"64,581km",570만원
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 11월식(22년형),"36,557km","2,140만원"
